run274.yaml: Model C | lr=0.001 | dropout=0.85 | weight_decay=0.0001
run275.yaml: Model C | lr=0.001 | dropout=0.95 | weight_decay=0.001
run276.yaml: Model C | lr=0.001 | dropout=0.95 | weight_decay=0.005
run277.yaml: Model C | lr=0.001 | dropout=0.95 | weight_decay=0.0005
run278.yaml: Model C | lr=0.001 | dropout=0.95 | weight_decay=0.0001
run279.yaml: Model A | lr=0.0001 | dropout=0 | weight_decay=0
run280.yaml: Model A | lr=0.0005 | dropout=0 | weight_decay=0
run281.yaml: Model A | lr=0.001 | dropout=0 | weight_decay=0
run282.yaml: Model B | lr=0.0001 | dropout=0 | weight_decay=0
run283.yaml: Model B | lr=0.0005 | dropout=0 | weight_decay=0
run284.yaml: Model B | lr=0.001 | dropout=0 | weight_decay=0
run285.yaml: Model C | lr=0.0001 | dropout=0 | weight_decay=0
run286.yaml: Model C | lr=0.0005 | dropout=0 | weight_decay=0
run287.yaml: Model C | lr=0.001 | dropout=0 | weight_decay=0
run288.yaml: Model C1000 | lr=0.001 | dropout=0.95 | weight_decay=0.001
run289.yaml: Model B | lr=0.005 | dropout=0.85 | weight_decay=0.001
run290.yaml: Model B | lr=0.01 | dropout=0.85 | weight_decay=0.001
run291.yaml: Model B | lr=0.05 | dropout=0.85 | weight_decay=0.001
run292.yaml: Model B | lr=0.1 | dropout=0.85 | weight_decay=0.001
run293.yaml: Model L | lr=0.001 | dropout=0 | weight_decay=0
run294.yaml: Model B | lr=0.01 | dropout=0.85 | weight_decay=0
run295.yaml: Model B | lr=0.05 | dropout=0.85 | weight_decay=0
